id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,26.1,25.7,25.2,27.8,29.5,28.7
100200,31.4,27.9,27.9,30.4,31.3,32.7
100300,30.3,28.0,27.8,31.3,32.7,38.1
100400,42.5,31.7,31.8,30.0,29.6,29.2
100500,32.3,29.8,29.3,31.0,30.3,31.1
100601,56.6,49.5,49.3,46.3,44.0,45.4
100602,32.9,39.8,44.8,44.8,44.4,40.3
100700,36.6,35.1,35.1,45.3,43.0,45.9
100800,21.7,22.6,22.3,22.9,23.5,23.8
100900,25.6,32.3,31.7,35.4,35.2,37.1
101001,26.6,26.8,27.4,28.5,26.9,26.7
101002,29.9,27.6,28.0,30.5,28.0,27.0
101101,30.4,26.5,24.8,25.8,24.4,24.9
101102,25.5,25.5,27.2,25.9,26.6,31.0
101103,29.5,35.1,35.3,32.0,31.7,31.3
101201,25.6,25.0,26.3,26.8,26.0,25.8
101202,27.3,29.2,29.1,29.0,29.6,30.8
101303,28.1,26.5,25.8,26.2,25.1,24.5
101304,26.3,22.8,23.1,24.2,26.9,29.3
101305,28.1,26.6,25.3,27.5,25.0,26.2
101306,23.4,25.9,28.3,27.5,27.7,25.9
101307,24.6,24.2,24.4,24.7,25.7,26.9
101400,22.0,22.6,22.6,23.0,22.9,22.5
101500,33.7,37.9,36.4,37.5,35.0,36.8
101600,38.4,38.6,35.7,32.1,34.5,31.6
101700,42.0,44.0,42.5,43.3,44.5,44.2
101802,37.9,37.6,39.2,39.0,36.3,36.5
101803,33.4,31.5,31.1,31.6,34.7,34.2
101804,36.1,39.1,40.4,39.3,40.0,37.6
101902,37.5,39.6,39.1,37.0,40.6,36.2
101903,28.3,30.6,30.5,30.9,32.3,30.6
101904,50.6,35.6,34.9,34.8,35.3,36.1
102001,33.5,31.5,29.8,31.3,29.4,29.4
102002,29.8,27.9,25.5,25.4,24.0,25.4
102003,25.2,25.7,27.1,24.9,24.5,24.8
102004,26.3,26.8,26.5,29.0,27.9,29.0
102005,26.1,26.4,26.6,28.6,29.1,31.2
102006,24.5,25.1,29.1,28.5,29.0,29.1
980100,-666666666.0,22.8,24.3,24.2,23.8,23.8
