id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,32,30,7,26,23,47
100200,29,43,34,68,42,9
100300,79,90,65,46,57,30
100400,33,65,70,52,49,19
100500,95,55,46,21,15,17
100601,7,82,76,67,52,53
100602,26,24,43,33,33,28
100700,37,2,6,5,9,4
100800,30,26,22,34,34,22
100900,35,18,38,39,41,33
101001,91,175,143,230,225,310
101002,104,110,168,163,210,205
101101,87,58,25,30,27,18
101102,228,157,165,120,202,146
101103,22,98,94,122,128,96
101201,237,106,126,117,64,83
101202,98,84,84,80,70,72
101303,216,216,272,216,419,439
101304,202,181,166,124,122,85
101305,54,136,140,228,251,264
101306,133,315,367,436,326,313
101307,63,39,49,41,29,45
101400,244,268,256,210,193,228
101500,202,230,307,323,315,318
101600,12,36,27,175,220,280
101700,89,49,64,81,89,88
101802,183,82,70,63,82,156
101803,66,153,199,226,166,197
101804,196,386,364,378,379,236
101902,34,35,49,93,111,88
101903,154,208,257,277,285,231
101904,9,63,101,106,95,49
102001,111,172,236,202,177,143
102002,197,205,250,267,285,225
102003,137,154,184,137,223,199
102004,197,208,147,68,89,84
102005,81,143,191,173,201,174
102006,248,213,90,163,203,223
980100,0,10,12,14,13,7
