id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,947,1087,1198,1183,1200,1140
100200,1651,1693,1730,1748,1530,1410
100300,4830,5376,5585,5314,5626,5140
100400,2392,3046,3141,3129,3143,3027
100500,4619,4050,4489,4663,4510,4369
100601,2184,2166,2008,2087,2181,2091
100602,2785,2708,2452,2587,2633,2414
100700,1193,1245,1318,1056,1197,1224
100800,2758,2579,2805,2827,2611,2485
100900,2465,1856,1840,1716,1679,1929
101001,4439,4071,3860,3599,3689,3542
101002,2840,2976,2926,2888,2779,3000
101101,2331,2281,2307,2503,2513,2633
101102,6928,7580,7198,7343,7383,6828
101103,2350,2523,2419,2554,2563,2461
101201,1938,2028,2061,2065,1879,1943
101202,3594,3083,3072,3231,3776,3833
101303,5302,6778,7973,8830,9123,9606
101304,3977,4738,4747,5082,5058,4754
101305,2540,3152,3423,3262,4113,4446
101306,4005,4058,4287,4882,4854,4924
101307,1934,2330,2368,2574,2412,2188
101400,5128,5670,5845,5868,5800,5841
101500,7022,7024,6925,6484,6565,6604
101600,5096,5300,5494,5410,5661,6108
101700,7246,7686,7564,7647,7650,7861
101802,9461,9417,9253,9479,9921,9886
101803,5986,6615,6645,6515,6457,6211
101804,5163,6123,5979,6008,6240,6464
101902,2297,2768,2553,2594,2412,2297
101903,7087,7900,7438,7546,8152,8915
101904,1683,2531,2446,2992,3250,3558
102001,3760,4153,4469,4593,4883,5102
102002,5544,6894,7078,7281,7813,7745
102003,4144,4797,5047,5224,5435,5758
102004,3665,4025,4219,4430,4851,5256
102005,3973,3861,4652,4400,4201,4735
102006,4852,5010,5756,6320,6819,7415
980100,0,137,188,233,234,248
