id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,0,0,0,0,0,0
100200,0,0,0,0,0,0
100300,0,20,18,21,0,0
100400,0,0,0,0,0,0
100500,0,0,17,15,14,16
100601,0,0,0,0,13,9
100602,0,0,0,0,0,9
100700,0,0,0,0,0,0
100800,25,45,16,12,3,4
100900,0,19,22,24,22,18
101001,0,0,0,0,0,0
101002,0,0,0,0,16,21
101101,0,0,0,0,0,0
101102,0,0,0,0,18,6
101103,0,0,0,0,0,0
101201,0,0,0,0,0,0
101202,0,0,0,0,0,0
101303,0,715,791,785,229,214
101304,35,34,36,0,0,0
101305,6,15,22,0,39,33
101306,0,0,0,0,17,19
101307,0,0,0,0,0,0
101400,70,30,37,0,0,0
101500,0,0,0,0,0,0
101600,0,0,0,0,0,0
101700,0,0,0,0,0,0
101802,0,11,57,66,72,72
101803,0,0,35,34,31,31
101804,0,0,0,0,0,0
101902,0,0,0,0,0,0
101903,14,13,0,0,0,0
101904,0,0,0,0,0,0
102001,13,8,13,10,10,7
102002,0,0,0,0,0,0
102003,0,0,0,29,28,28
102004,0,110,105,89,78,59
102005,0,40,58,48,48,36
102006,54,0,0,0,0,0
980100,0,0,0,0,0,0
