id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,301,225,196,224,156,216
100200,376,233,177,210,102,48
100300,808,941,1203,1232,806,643
100400,1032,1538,1758,1444,1442,1438
100500,715,276,462,746,668,665
100601,128,57,97,100,111,144
100602,65,64,94,206,190,123
100700,447,551,512,303,336,334
100800,1376,1255,1486,1617,1620,1356
100900,1283,904,726,468,625,645
101001,1061,981,1047,894,950,1213
101002,1182,913,1147,972,896,823
101101,885,802,659,771,650,767
101102,2205,2034,1660,1943,2001,2085
101103,305,347,156,344,363,347
101201,907,1118,1108,1300,871,892
101202,952,591,656,580,626,737
101303,2338,2670,3683,3683,3314,3255
101304,1140,2022,1988,1861,1851,1999
101305,1055,1387,1181,1018,1580,1571
101306,1405,1334,1623,1804,2041,2068
101307,679,1402,1204,1282,936,657
101400,951,952,882,701,756,649
101500,422,377,728,675,841,574
101600,513,327,325,223,274,569
101700,124,272,183,200,154,156
101802,357,426,476,461,473,388
101803,456,429,373,525,646,668
101804,261,280,118,339,302,404
101902,76,63,135,235,231,280
101903,1527,1483,1314,1326,1479,1669
101904,67,260,315,352,428,388
102001,512,689,459,662,1067,1236
102002,869,1164,1030,1467,1585,1723
102003,1679,1870,1841,1268,1647,1812
102004,1120,1151,1394,1468,1664,1952
102005,1107,950,872,1291,1220,1397
102006,958,1440,1167,1492,1697,1765
980100,0,32,45,69,65,55
