id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,0,15,9,2,0,0
100200,26,17,11,8,6,7
100300,33,38,8,6,10,12
100400,0,17,12,13,0,0
100500,9,51,124,128,12,15
100601,126,9,11,14,28,30
100602,51,41,39,35,0,0
100700,0,0,0,0,19,21
100800,43,27,21,20,9,11
100900,0,112,148,137,69,74
101001,149,84,71,35,73,82
101002,184,186,118,113,55,92
101101,127,0,0,21,19,17
101102,172,146,219,202,199,165
101103,33,46,48,50,68,40
101201,41,55,45,128,58,72
101202,0,61,60,74,65,75
101303,152,258,321,419,550,496
101304,167,113,153,161,152,133
101305,104,70,53,65,100,102
101306,118,69,68,175,155,160
101307,80,76,85,60,62,75
101400,59,99,122,157,139,199
101500,145,61,62,49,68,33
101600,52,17,12,0,0,68
101700,68,94,105,13,31,32
101802,80,55,73,82,89,121
101803,277,429,289,186,227,276
101804,191,242,271,240,394,323
101902,19,141,122,95,101,22
101903,155,282,272,249,253,18
101904,0,9,43,58,185,206
102001,107,86,98,56,70,114
102002,38,119,27,132,102,171
102003,368,146,145,233,282,242
102004,178,202,156,154,226,222
102005,121,85,76,25,110,160
102006,102,157,266,322,235,286
980100,0,16,17,18,19,22
