id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,94,178,201,124,119,138
100200,128,62,86,63,57,66
100300,187,215,193,214,757,758
100400,153,195,289,548,516,558
100500,330,704,937,674,717,662
100601,8,85,100,114,91,76
100602,213,148,111,155,144,172
100700,0,6,7,9,78,195
100800,51,62,80,81,63,48
100900,351,285,317,109,202,321
101001,518,477,456,480,391,352
101002,270,333,260,231,167,76
101101,0,147,209,280,419,258
101102,785,764,764,837,523,1006
101103,97,242,244,424,309,301
101201,258,377,415,312,313,276
101202,206,294,378,277,359,311
101303,795,947,909,1106,1263,1218
101304,472,489,642,906,956,998
101305,470,384,379,450,725,861
101306,549,965,491,729,648,543
101307,34,73,189,224,312,259
101400,820,1029,1181,1331,1182,1351
101500,666,799,573,410,328,334
101600,12,103,109,324,281,391
101700,130,74,86,155,121,120
101802,178,327,430,502,284,260
101803,342,223,285,98,144,204
101804,505,214,346,252,545,239
101902,43,115,105,198,196,174
101903,421,786,702,700,801,513
101904,77,402,312,325,229,222
102001,582,390,499,306,280,258
102002,679,912,1025,1186,1255,1362
102003,401,840,918,768,1073,1326
102004,511,518,593,738,653,615
102005,560,406,505,431,370,464
102006,364,534,805,1082,1071,1361
980100,0,31,49,61,59,18
