id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,344,368,363,481,417,400
100200,850,741,741,771,715,676
100300,2002,2076,2077,2047,1993,1951
100400,1145,1289,1366,1289,1225,1163
100500,2222,2221,2219,2246,2197,2209
100601,931,941,876,901,897,903
100602,1448,1353,1292,1340,1277,1275
100700,506,539,584,492,525,546
100800,786,917,953,923,821,773
100900,1131,1034,1016,930,997,1110
101001,1760,1579,1498,1463,1477,1428
101002,1093,1117,1162,1222,1163,1201
101101,1030,966,1000,1059,999,1069
101102,2643,2671,2757,2885,2842,2844
101103,893,962,935,937,964,907
101201,782,847,921,950,898,896
101202,1463,1342,1356,1397,1513,1566
101303,2305,2920,3292,3708,3730,3777
101304,1894,1986,2018,2044,2039,2031
101305,956,1018,1038,1141,1336,1604
101306,1650,1757,1826,1984,1903,1871
101307,848,903,921,979,960,970
101400,1281,1580,1635,1631,1597,1587
101500,2777,2784,2590,2466,2561,2615
101600,2111,2010,1980,1953,2024,2181
101700,2767,2978,2976,2880,2920,2965
101802,3783,3701,3536,3590,3707,3765
101803,2247,2296,2280,2305,2427,2614
101804,2046,2358,2348,2243,2288,2308
101902,935,978,949,956,964,908
101903,2774,3166,3013,3130,3298,3397
101904,628,841,857,993,1113,1198
102001,1700,2027,1964,1982,2082,2056
102002,2144,2385,2359,2558,2687,2799
102003,1560,1829,1996,2047,2144,2211
102004,1440,1875,1981,2021,2041,2238
102005,1678,1828,2069,2129,1969,2224
102006,1859,1843,2074,2161,2380,2668
980100,0,0,0,0,0,0
