id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,12,62,86,26,37,14
100200,180,207,197,204,193,169
100300,687,907,858,737,757,575
100400,251,434,449,570,520,530
100500,474,380,708,654,607,562
100601,99,190,159,158,189,131
100602,376,284,141,170,185,187
100700,28,76,92,72,149,193
100800,171,117,214,211,242,233
100900,398,225,311,252,243,274
101001,973,764,599,558,566,592
101002,551,552,385,362,407,465
101101,285,305,272,335,488,490
101102,1313,1371,1302,1268,1296,1067
101103,316,331,365,461,477,478
101201,412,330,298,309,293,304
101202,626,423,396,431,508,535
101303,930,1343,1721,1760,1851,2081
101304,770,1189,1188,1176,849,746
101305,545,680,640,524,767,846
101306,766,705,722,910,860,897
101307,274,316,320,338,363,313
101400,997,1085,1234,1356,1333,1307
101500,905,808,851,757,906,783
101600,648,693,679,727,671,758
101700,941,860,817,908,833,893
101802,1265,1300,1194,1194,1160,1364
101803,905,1072,1179,1090,1022,982
101804,733,907,861,805,838,983
101902,381,342,355,342,286,348
101903,1166,1272,1099,1105,958,1047
101904,180,399,402,539,646,636
102001,659,552,694,495,505,497
102002,778,1169,1101,1219,1375,1249
102003,790,945,1058,1192,1249,1304
102004,889,695,662,616,709,672
102005,684,713,778,708,656,781
102006,1054,1085,1157,1296,1254,1233
980100,0,0,0,0,0,0
