id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,100,262,247,230,272,225
100200,376,804,705,753,748,611
100300,652,964,967,1059,1056,979
100400,304,551,687,884,757,653
100500,923,1480,1369,1335,1082,1074
100601,242,529,630,504,448,440
100602,490,490,565,561,505,532
100700,123,184,221,261,321,266
100800,333,379,422,401,298,334
100900,307,335,354,274,251,313
101001,927,1024,997,1098,1146,918
101002,469,515,579,700,614,673
101101,503,779,705,807,724,534
101102,1386,2201,1994,1795,1589,1276
101103,677,741,777,762,793,740
101201,388,369,505,533,454,398
101202,654,949,796,865,917,904
101303,777,1545,1989,2312,2821,2400
101304,702,924,920,966,883,769
101305,425,945,1007,977,858,958
101306,521,1116,1201,1437,1233,1320
101307,221,390,528,516,486,511
101400,1366,1821,1924,2063,1798,1868
101500,1566,2480,2463,2286,1539,1517
101600,652,922,1217,1420,1351,1684
101700,1322,1251,1200,1435,1374,1374
101802,1935,2089,2188,2220,2204,2457
101803,1423,1677,1629,1429,1413,1428
101804,1707,2051,1907,1655,1586,1593
101902,542,750,678,682,706,643
101903,1167,1585,1786,1810,1881,1843
101904,524,818,677,800,819,871
102001,688,798,1004,896,952,929
102002,956,1805,2365,2422,2300,2557
102003,874,1587,1599,1778,1176,1250
102004,769,1102,1279,1282,1170,1268
102005,769,1035,1109,1272,1367,1477
102006,780,1330,1589,1948,2192,2233
980100,0,48,80,106,96,101
