id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,5,6,6,0,0,0
100200,0,0,20,59,21,33
100300,59,30,26,19,146,152
100400,11,11,15,10,13,9
100500,24,123,104,152,103,132
100601,62,14,20,37,43,37
100602,22,42,58,86,39,32
100700,0,8,8,9,48,52
100800,58,72,24,24,13,8
100900,0,102,90,120,132,152
101001,121,74,81,113,136,139
101002,144,130,115,110,68,55
101101,165,47,73,74,63,68
101102,163,100,194,219,243,251
101103,54,91,81,103,92,54
101201,83,73,93,95,85,87
101202,52,84,49,60,72,79
101303,104,629,708,806,603,713
101304,283,370,314,283,240,272
101305,120,57,56,93,87,73
101306,69,174,203,323,268,247
101307,80,46,71,69,86,92
101400,66,131,181,219,202,222
101500,114,89,85,69,72,49
101600,52,17,22,12,22,94
101700,108,169,190,100,34,45
101802,138,111,141,148,94,95
101803,158,352,331,199,182,145
101804,153,213,229,209,235,190
101902,41,108,157,144,171,145
101903,200,181,170,159,237,191
101904,36,36,49,60,28,34
102001,71,114,171,127,74,63
102002,97,69,53,93,80,148
102003,148,69,219,260,262,404
102004,208,235,263,287,290,279
102005,99,303,109,163,100,179
102006,107,105,255,265,270,435
980100,0,13,14,15,15,9
