id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,656,749,838,744,696,763
100200,1247,639,768,800,642,621
100300,3758,3442,3261,2903,3205,2873
100400,1728,2250,2332,2141,2143,1954
100500,3238,2475,2772,2832,2629,2619
100601,1287,1133,972,1181,1350,1202
100602,1767,1733,1486,1723,1700,1550
100700,951,840,847,575,666,795
100800,1942,1927,1918,1992,1867,1779
100900,2060,1349,1466,1216,1379,1616
101001,3380,2990,2768,2581,2607,2694
101002,2598,2413,2278,2191,1900,1930
101101,2073,1288,1362,1425,1497,1706
101102,5540,5018,4651,4911,5202,4960
101103,1424,1639,1347,1489,1386,1307
101201,1659,1770,1708,1727,1385,1482
101202,2383,1814,2150,2117,2519,2505
101303,4773,5727,5955,6303,6047,6584
101304,3270,3404,3499,3748,3611,3499
101305,2151,1998,1788,1738,2312,2843
101306,3180,3139,2906,3414,3473,3306
101307,1790,2059,1806,1935,1769,1549
101400,3753,3927,4178,4084,4049,4119
101500,4911,3655,3406,3180,3832,3721
101600,3534,3488,3487,3251,3541,3939
101700,4103,4213,4357,4260,4137,4366
101802,6022,6005,5560,5598,5645,5290
101803,4005,4168,4205,3891,3917,3740
101804,3477,3409,3274,3404,3725,3737
101902,1449,1779,1569,1463,1248,1184
101903,4652,5422,4709,4446,4618,4563
101904,860,1333,1509,1538,1736,1706
102001,3009,2764,3095,2982,3459,3301
102002,4163,4468,4246,4392,4642,4827
102003,3363,3084,3442,3455,4031,4123
102004,2723,2531,2522,2707,3040,3152
102005,3003,2992,3148,2899,2578,2816
102006,3472,3166,3420,3792,4294,4883
980100,0,105,136,169,187,176
