id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,27,34,48,8,0,0
100200,128,16,25,74,18,12
100300,0,30,33,36,42,76
100400,43,88,159,190,172,173
100500,144,372,513,355,346,340
100601,8,7,14,26,22,23
100602,0,16,25,39,28,16
100700,0,3,4,11,10,0
100800,11,17,12,9,10,11
100900,297,221,244,109,180,226
101001,130,98,111,140,81,86
101002,46,18,18,19,13,5
101101,0,16,34,46,56,49
101102,120,0,59,62,96,186
101103,0,39,32,37,13,0
101201,56,38,82,87,70,73
101202,43,68,49,22,37,32
101303,133,206,181,115,281,368
101304,103,310,374,410,194,198
101305,68,29,58,82,50,77
101306,45,148,149,250,214,158
101307,0,7,12,19,85,69
101400,25,91,135,194,177,203
101500,28,53,48,65,45,75
101600,0,0,0,12,14,35
101700,0,0,0,83,48,62
101802,95,201,122,186,48,40
101803,41,11,17,79,82,29
101804,7,0,9,11,24,13
101902,10,11,49,80,93,83
101903,40,120,109,151,191,84
101904,22,27,22,22,0,0
102001,163,123,199,126,98,37
102002,74,39,53,64,56,224
102003,76,23,115,90,98,267
102004,140,194,223,313,295,226
102005,125,317,159,150,29,120
102006,73,104,97,199,215,356
980100,0,13,14,15,15,0
