id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,27,56,69,24,9,6
100200,147,25,41,86,34,45
100300,112,101,77,76,207,228
100400,54,125,195,221,185,182
100500,166,454,667,510,397,397
100601,87,18,25,43,68,57
100602,116,123,134,146,69,62
100700,1,19,21,11,66,71
100800,90,116,57,49,35,41
100900,318,358,412,252,272,308
101001,275,194,226,275,236,223
101002,220,183,146,133,117,103
101101,261,122,152,128,107,102
101102,461,232,318,347,378,453
101103,69,132,125,117,122,81
101201,123,114,122,212,145,142
101202,148,191,158,124,122,129
101303,386,1209,1327,1351,1049,1089
101304,427,595,628,665,362,391
101305,166,133,163,201,232,276
101306,170,336,314,500,367,302
101307,92,115,121,114,153,150
101400,150,258,334,380,328,364
101500,224,231,220,190,204,181
101600,65,50,53,24,22,111
101700,137,204,221,196,136,135
101802,300,404,335,333,221,192
101803,338,477,493,400,361,278
101804,259,287,308,269,301,323
101902,41,123,176,166,196,155
101903,258,487,438,491,537,207
101904,36,43,65,80,165,205
102001,324,265,333,244,291,204
102002,162,243,185,266,231,370
102003,434,208,360,425,422,595
102004,380,513,506,555,524,439
102005,180,456,353,356,277,350
102006,337,284,401,511,473,672
980100,0,13,14,26,26,15
