id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,26,29,24,17,0,0
100200,112,0,8,11,7,4
100300,0,0,0,0,0,0
100400,10,72,75,95,95,82
100500,0,52,29,28,33,0
100601,9,4,0,8,10,11
100602,11,10,22,18,23,16
100700,0,0,0,16,9,16
100800,29,30,33,7,9,0
100900,176,143,157,7,7,0
101001,17,0,0,0,7,5
101002,0,0,0,0,0,0
101101,0,0,0,0,0,15
101102,0,26,26,36,32,26
101103,0,0,0,0,0,7
101201,0,0,0,5,4,56
101202,32,54,40,25,107,105
101303,70,66,54,118,156,146
101304,19,46,67,59,42,19
101305,28,15,0,25,25,18
101306,16,31,15,13,15,31
101307,0,0,14,49,58,56
101400,83,30,14,26,22,18
101500,59,44,0,0,0,14
101600,7,0,0,0,0,0
101700,30,0,0,0,0,0
101802,31,26,44,28,24,32
101803,0,64,87,124,120,97
101804,0,0,0,0,0,12
101902,7,46,34,43,49,42
101903,0,65,60,96,103,120
101904,0,0,0,0,0,0
102001,60,58,0,0,0,0
102002,136,45,53,0,0,0
102003,0,62,50,64,87,40
102004,0,22,27,29,62,74
102005,35,81,222,122,11,7
102006,152,14,0,0,0,0
980100,0,5,6,6,5,0
