id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,661,836,947,941,1016,942
100200,1127,1426,1497,1532,1421,1355
100300,3960,4424,4382,4080,4716,4318
100400,1313,1326,1215,1490,1489,1376
100500,3846,3919,4320,3993,4003,3923
100601,1990,2147,1955,2009,2095,1941
100602,2748,2733,2458,2490,2502,2381
100700,753,683,797,705,818,828
100800,1411,1317,1239,1142,992,1073
100900,1259,1044,1209,1314,1231,1345
101001,2954,3049,2871,2921,2961,2584
101002,1658,2010,1797,1745,1898,2129
101101,1558,1496,1711,1776,1864,1899
101102,5097,5382,5444,5272,5455,5009
101103,2009,2290,2346,2242,2193,2104
101201,1028,814,943,867,982,949
101202,2840,2589,2347,2519,2891,2786
101303,3082,4381,4693,5270,5591,6167
101304,2998,2863,2818,3127,2935,2692
101305,1531,1891,2266,2237,2599,2987
101306,2456,3223,3080,3415,3005,2884
101307,1317,922,1073,1172,1263,1336
101400,4042,4543,4703,4997,4882,5019
101500,6450,6401,6004,5835,5758,5883
101600,4579,4988,5162,5342,5555,5707
101700,7199,7506,7526,7595,7601,7803
101802,9430,9246,8813,9030,9471,9450
101803,5636,6326,6571,6224,5870,5474
101804,4802,5652,5777,5670,5955,6136
101902,2239,2595,2435,2423,2302,2174
101903,5690,6317,5956,6167,6430,7044
101904,1597,2226,2139,2629,2828,3106
102001,3045,3484,4029,4019,3814,3721
102002,4692,5403,5457,5672,5925,5830
102003,2270,2784,3255,3924,3765,4194
102004,2617,3197,3140,3205,3261,3156
102005,2573,2979,3625,3271,3092,3573
102006,4106,3744,4600,4922,5215,5723
980100,0,101,133,165,171,158
