id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,343,491,536,565,542,579
100200,820,823,822,967,866,766
100300,2254,2808,2832,2789,2700,2332
100400,904,1125,1306,1438,1437,1361
100500,2353,2273,2288,2602,2334,2100
100601,883,879,797,802,852,798
100602,1532,1419,1205,1304,1267,1115
100700,600,563,573,471,503,475
100800,919,988,1070,1206,988,889
100900,1113,838,959,943,898,1060
101001,2822,2004,2081,1981,2013,1924
101002,1803,2166,2065,2130,1905,2059
101101,1742,1549,1537,1534,1619,1730
101102,4717,4962,4122,4176,4347,4086
101103,1580,1694,1464,1453,1507,1389
101201,1406,1580,1611,1547,1204,1194
101202,2489,2011,2157,2153,2551,2494
101303,4356,5285,6254,6840,6932,7139
101304,3067,3331,3286,3678,3667,3462
101305,1778,2360,2606,2369,3180,3388
101306,2673,2582,2823,3259,3118,3202
101307,1181,1500,1692,1828,1656,1489
101400,4674,5158,5319,5338,5164,5100
101500,4248,4551,4417,4208,3911,4141
101600,1830,2007,1920,1964,2097,2422
101700,2816,2905,2765,2998,3156,2942
101802,4479,3974,3959,4218,4527,4836
101803,3229,3269,3011,2845,3044,3322
101804,3049,3505,3681,3523,3609,3769
101902,1207,1233,1167,1294,1282,1165
101903,4072,4828,4433,4289,4691,5055
101904,671,1363,1325,1878,2087,2368
102001,2172,2478,2524,2705,2447,2720
102002,3617,4623,4159,4720,4940,5095
102003,2856,3465,3971,3922,4083,4162
102004,2895,3226,3448,3588,3885,4024
102005,2707,2330,2867,2903,2845,3339
102006,3398,3615,4318,4777,5158,5548
980100,0,137,188,233,223,240
