id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,3,0,0,4,4,4
100200,143,0,0,0,0,0
100300,26,0,0,0,19,0
100400,12,0,11,14,10,20
100500,133,0,50,38,53,54
100601,0,12,16,18,4,11
100602,86,0,19,30,25,51
100700,0,0,0,0,0,0
100800,47,24,21,22,18,19
100900,297,0,0,20,38,32
101001,147,0,32,72,109,110
101002,26,14,16,25,56,73
101101,0,19,16,34,34,30
101102,382,0,16,12,31,30
101103,0,0,0,0,5,10
101201,14,3,10,9,23,20
101202,30,10,31,30,30,29
101303,200,227,236,289,267,299
101304,138,1,4,6,28,68
101305,130,0,4,64,118,141
101306,128,40,19,40,46,19
101307,172,27,27,34,34,0
101400,351,41,44,75,69,98
101500,65,0,0,0,0,0
101600,12,0,0,0,0,8
101700,0,11,8,10,53,55
101802,154,0,23,34,31,32
101803,256,0,20,73,74,89
101804,0,47,34,48,33,96
101902,18,16,14,17,19,0
101903,17,50,65,69,70,79
101904,0,11,41,35,65,86
102001,181,7,6,9,221,160
102002,119,0,20,64,73,121
102003,319,77,116,133,219,251
102004,180,54,57,48,41,46
102005,82,26,44,39,34,154
102006,223,0,0,0,20,109
980100,0,0,0,11,11,6
