id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,0,7,12,10,5,2
100200,0,0,2,3,10,26
100300,35,13,18,13,0,0
100400,11,20,24,18,13,9
100500,13,16,8,24,26,27
100601,26,6,6,9,14,9
100602,9,26,70,72,41,37
100700,1,8,10,0,26,32
100800,11,39,18,22,22,18
100900,13,0,18,20,26,25
101001,46,68,63,85,75,74
101002,30,18,20,9,31,27
101101,114,93,104,61,32,36
101102,117,89,100,102,116,146
101103,51,60,67,41,52,48
101201,26,29,11,18,22,8
101202,105,70,55,44,45,52
101303,90,52,42,61,101,123
101304,165,114,53,74,63,92
101305,0,9,25,67,68,60
101306,64,101,80,92,8,8
101307,63,33,21,18,6,6
101400,17,36,44,41,50,59
101500,76,124,130,108,124,73
101600,13,33,31,12,0,0
101700,45,69,53,50,26,10
101802,132,126,93,42,53,40
101803,58,128,138,102,101,27
101804,93,70,47,15,38,82
101902,12,21,40,52,64,50
101903,102,153,106,138,139,104
101904,14,7,14,15,43,59
102001,41,62,37,52,34,28
102002,48,96,36,64,61,60
102003,25,32,100,91,95,143
102004,54,13,25,9,8,10
102005,0,0,0,25,26,61
102006,89,66,83,65,85,59
980100,0,0,0,0,0,0
