id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,26.7,26.2,24.1,27.7,29.3,27.8
100200,32.6,28.8,28.3,29.1,30.2,33.4
100300,30.5,29.8,29.3,33.6,33.1,34.4
100400,39.3,31.9,33.4,31.3,30.0,30.1
100500,35.5,30.9,29.9,32.3,31.7,31.8
100601,58.4,50.1,49.4,47.2,46.7,47.2
100602,39.5,40.3,43.1,44.0,42.3,39.9
100700,36.5,34.5,38.4,45.3,42.3,45.0
100800,20.2,22.2,22.9,23.3,23.5,23.0
100900,31.3,32.5,31.3,38.0,37.0,37.2
101001,27.0,27.3,28.0,30.1,27.8,28.9
101002,29.3,28.9,27.7,29.0,30.3,28.5
101101,29.9,27.8,27.9,28.9,27.2,27.9
101102,26.2,27.1,27.7,27.6,29.2,31.4
101103,32.0,34.2,34.0,32.2,32.0,32.8
101201,25.5,28.4,29.9,29.7,29.5,28.1
101202,28.4,31.6,29.9,31.9,29.8,30.5
101303,28.1,27.3,26.8,26.7,26.4,25.7
101304,27.0,24.5,25.1,25.7,28.1,29.4
101305,28.4,29.0,26.6,27.5,25.6,26.2
101306,24.6,26.4,27.6,26.5,26.9,25.5
101307,26.7,22.2,23.0,24.4,26.3,29.6
101400,22.0,22.7,23.0,23.3,23.1,22.3
101500,33.9,36.8,36.6,37.1,36.8,37.0
101600,39.8,38.2,34.0,32.8,33.7,32.8
101700,43.1,43.2,40.8,43.2,44.3,43.4
101802,38.0,39.8,39.8,39.8,39.0,39.3
101803,37.4,34.2,34.5,33.2,34.5,35.4
101804,38.4,39.0,40.2,38.7,38.8,37.8
101902,42.1,38.3,38.3,37.2,40.1,37.5
101903,31.5,32.2,33.1,34.5,32.9,32.2
101904,47.7,34.4,34.5,34.3,35.4,35.4
102001,32.5,31.5,30.0,30.5,28.5,28.2
102002,27.0,26.7,25.8,26.8,25.8,27.6
102003,25.9,26.8,27.4,25.5,26.5,26.4
102004,27.1,27.1,25.9,26.3,26.6,27.5
102005,26.9,28.2,27.6,28.0,29.0,30.8
102006,28.8,28.4,30.2,29.5,29.6,29.5
980100,-666666666.0,22.6,24.1,24.0,23.4,23.8
