id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,22,50,63,24,9,6
100200,147,25,21,27,13,12
100300,53,71,51,57,61,76
100400,43,114,180,211,172,173
100500,142,331,563,358,294,265
100601,25,4,5,6,25,20
100602,94,81,76,60,30,30
100700,1,11,13,2,18,19
100800,32,44,33,25,22,33
100900,318,256,322,132,140,156
101001,154,120,145,162,100,84
101002,76,53,31,23,49,48
101101,96,75,79,54,44,34
101102,298,132,124,128,135,202
101103,15,41,44,14,30,27
101201,40,41,29,117,60,55
101202,96,107,109,64,50,50
101303,282,580,619,545,446,376
101304,144,225,314,382,122,119
101305,46,76,107,108,145,203
101306,101,162,111,177,99,55
101307,12,69,50,45,67,58
101400,84,127,153,161,126,142
101500,110,142,135,121,132,132
101600,13,33,31,12,0,17
101700,29,35,31,96,102,90
101802,162,293,194,185,127,97
101803,180,125,162,201,179,133
101804,106,74,79,60,66,133
101902,0,15,19,22,25,10
101903,58,306,268,332,300,16
101904,0,7,16,20,137,171
102001,253,151,162,117,217,141
102002,65,174,132,173,151,222
102003,286,139,141,165,160,191
102004,172,278,243,268,234,160
102005,81,153,244,193,177,171
102006,230,179,146,246,203,237
980100,0,0,0,11,11,6
