id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,0,15,9,6,4,4
100200,19,9,6,9,6,7
100300,77,38,8,6,165,152
100400,0,17,12,13,0,0
100500,9,51,110,116,11,14
100601,28,5,5,8,19,16
100602,94,81,39,35,0,0
100700,0,0,0,0,30,39
100800,43,5,6,6,0,8
100900,0,112,126,99,44,39
101001,88,28,52,50,80,63
101002,144,147,108,105,57,50
101101,127,0,0,21,19,17
101102,116,101,159,183,148,115
101103,18,33,26,39,57,33
101201,41,47,29,107,53,61
101202,0,53,54,58,40,45
101303,135,214,281,390,438,384
101304,108,105,136,133,105,101
101305,80,70,44,52,75,106
101306,61,87,85,158,128,117
101307,29,63,65,60,62,75
101400,38,69,67,109,88,102
101500,106,38,27,17,35,33
101600,52,17,12,0,8,76
101700,68,124,150,63,62,63
101802,73,31,32,39,48,40
101803,198,245,176,133,92,135
101804,148,217,252,243,239,211
101902,19,87,83,34,39,22
101903,102,201,223,202,207,19
101904,0,9,29,43,122,146
102001,48,58,84,56,62,65
102002,24,108,96,138,114,86
102003,333,153,145,215,201,157
102004,186,196,153,144,143,144
102005,20,99,136,133,174,133
102006,61,114,221,247,173,257
980100,0,0,0,11,11,6
