id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,604,596,662,618,658,561
100200,831,870,908,781,664,644
100300,2576,2568,2753,2525,2926,2808
100400,1488,1921,1835,1691,1706,1666
100500,2266,1777,2201,2061,2176,2269
100601,1301,1287,1211,1285,1329,1293
100602,1253,1289,1247,1283,1366,1299
100700,593,682,745,585,694,749
100800,1839,1591,1735,1621,1623,1596
100900,1352,1018,881,773,781,869
101001,1617,2067,1779,1618,1676,1618
101002,1037,810,861,758,874,941
101101,589,732,770,969,894,903
101102,2211,2618,3076,3167,3036,2742
101103,770,829,955,1101,1056,1072
101201,532,448,450,518,675,749
101202,1105,1072,915,1078,1225,1339
101303,946,1493,1719,1990,2191,2467
101304,910,1407,1461,1404,1391,1292
101305,762,792,817,893,933,1058
101306,1332,1476,1464,1623,1736,1722
101307,753,830,676,746,756,699
101400,454,512,526,530,636,741
101500,2774,2473,2508,2276,2654,2463
101600,3266,3293,3574,3446,3564,3686
101700,4430,4781,4799,4649,4494,4919
101802,4982,5443,5294,5261,5394,5050
101803,2757,3346,3634,3670,3413,2889
101804,2114,2618,2298,2485,2631,2695
101902,1090,1535,1386,1300,1130,1132
101903,3015,3072,3005,3257,3461,3860
101904,1012,1168,1121,1114,1163,1190
102001,1588,1675,1945,1888,2436,2382
102002,1927,2271,2919,2561,2873,2650
102003,1288,1332,1076,1302,1352,1596
102004,770,799,771,842,966,1232
102005,1266,1531,1785,1497,1356,1396
102006,1454,1395,1438,1543,1661,1867
980100,0,0,0,0,11,8
