id,y_2010,y_2013,y_2014,y_2015,y_2016,y_2017
100100,28.3,26.7,23.7,24.9,27.8,27.1
100200,34.1,33.3,29.1,28.3,29.6,33.7
100300,31.1,31.1,30.2,34.2,33.4,33.2
100400,38.6,33.0,33.7,34.3,32.2,33.5
100500,38.0,34.7,32.7,33.6,33.5,33.5
100601,60.2,50.9,49.8,47.7,47.5,48.6
100602,44.6,40.6,40.1,43.3,40.1,39.6
100700,36.2,31.8,44.8,46.0,40.7,44.3
100800,19.7,20.9,25.5,23.8,23.5,22.8
100900,32.4,32.8,29.8,38.6,40.3,37.6
101001,28.4,28.4,32.0,32.2,30.8,33.1
101002,29.0,29.9,27.0,28.7,34.6,31.4
101101,28.4,28.6,31.8,35.7,31.8,36.1
101102,26.9,28.5,30.1,30.0,31.2,31.9
101103,33.6,33.4,33.0,32.4,32.2,33.8
101201,25.5,30.4,30.7,31.0,31.8,30.7
101202,30.1,34.5,31.9,33.8,30.5,29.0
101303,28.0,27.9,27.6,27.1,27.9,27.8
101304,29.0,25.4,26.6,28.3,28.4,29.5
101305,29.1,30.0,27.8,27.4,26.4,26.2
101306,25.7,27.4,26.4,26.0,25.7,24.8
101307,27.6,21.3,21.9,22.9,26.6,31.3
101400,22.0,22.9,23.8,24.3,24.3,21.7
101500,34.3,36.3,36.7,36.7,37.7,37.2
101600,42.6,37.0,33.7,33.0,33.4,33.1
101700,43.3,42.3,40.5,43.1,44.1,42.4
101802,38.2,41.9,40.4,40.4,40.0,40.4
101803,39.6,35.0,35.5,34.1,34.5,40.3
101804,40.6,38.9,39.8,38.6,38.5,37.9
101902,43.4,37.7,37.9,37.5,39.0,40.1
101903,33.8,34.5,36.0,36.9,33.4,33.4
101904,47.5,31.8,34.1,33.6,35.7,33.8
102001,30.7,31.5,30.7,29.2,28.1,26.2
102002,25.5,26.4,26.3,29.1,28.6,29.2
102003,27.3,27.2,27.9,25.8,28.9,28.5
102004,28.3,27.2,24.9,24.9,25.3,26.8
102005,28.6,29.4,28.4,27.5,28.0,30.6
102006,29.9,29.2,30.4,30.2,30.0,29.8
980100,-666666666.0,22.1,22.1,22.1,21.7,22.8
